"ano";"musica";"artista";"video";"path"
1975;"moca";"wando";"lq1wcyw30xo";"cifras\wando\wando_moca.html"
1975;"alem-do-horizonte";"roberto-carlos";"cvacr29cgh0";"cifras\roberto-carlos\roberto-carlos_alem-do-horizonte.html"
1975;"im-not-in-love";"10cc";"2rgepwg4rzw";"cifras\10cc\10cc_im-not-in-love.html"
1975;"moro-onde-nao-mora-ninguem";"agepe";"oplj90fqbsa";"cifras\agepe\agepe_moro-onde-nao-mora-ninguem.html"
1975;"paralelas";"vanusa";"dyaioqw2ej4";"cifras\vanusa\vanusa_paralelas.html"
1975;"o-mestre-sala-dos-mares";"elis-regina";"n6-i_xqsxce";"cifras\elis-regina\elis-regina_o-mestre-sala-dos-mares.html"
1975;"like-a-locomotion";"left-side";"-6x9slex48q";"cifras\left-side\left-side_like-a-locomotion.html"
1975;"flying-(turn-round)";"chris-deburgh";"peuij7j9-a4";"cifras\chris-deburgh\chris-deburgh_flying-(turn-round).html"
1975;"one-day-in-your-life";"michael-jackson";"jfktvrxye-q";"cifras\michael-jackson\michael-jackson_one-day-in-your-life.html"
1975;"charlie-brown";"benito-di-paula";"zsx9wkh6l7y";"cifras\benito-di-paula\benito-di-paula_charlie-brown.html"
1975;"fe-cega,-faca-amolada";"milton-nascimento-&-beto-guedes";"mwdtxhy6yuc";"cifras\milton-nascimento-&-beto-guedes\milton-nascimento-&-beto-guedes_fe-cega,-faca-amolada.html"
1975;"philadelphia-freedom";"the-elton-john-band";"9jiuljux-o0";"cifras\the-elton-john-band\the-elton-john-band_philadelphia-freedom.html"
1975;"kung-fu-fighting";"carl-douglas";"yrtrcq6lwt8";"cifras\carl-douglas\carl-douglas_kung-fu-fighting.html"
1975;"dois-pra-la,-dois-pra-ca";"elis-regina";"bgig75u7am0";"cifras\elis-regina\elis-regina_dois-pra-la,-dois-pra-ca.html"
1975;"severina-xique-xique";"genival-lacerda";"yn_k8nubhgk";"cifras\genival-lacerda\genival-lacerda_severina-xique-xique.html"
1975;"the-old-fashioned-way";"charles-aznavour";"wirdr-qxtbw";"cifras\charles-aznavour\charles-aznavour_the-old-fashioned-way.html"
1975;"island-girl";"elton-john";"idupuu9-oko";"cifras\elton-john\elton-john_island-girl.html"
1975;"o-mar-serenou";"clara-nunes";"ihgry51s39w";"cifras\clara-nunes\clara-nunes_o-mar-serenou.html"
1975;"love-will-keep-us-together";"the-captain-&-tennille";"_qnef9ogw8o";"cifras\the-captain-&-tennille\the-captain-&-tennille_love-will-keep-us-together.html"
1975;"only-yesterday";"carpenters";"evets8_wfge";"cifras\carpenters\carpenters_only-yesterday.html"
1975;"get-down-tonight";"kc-&-the-sunshine-band";"lhese9yn2cy";"cifras\kc-&-the-sunshine-band\kc-&-the-sunshine-band_get-down-tonight.html"
1975;"olha";"roberto-carlos";"ftoqwvexqao";"cifras\roberto-carlos\roberto-carlos_olha.html"
1975;"youre-the-first,-the-last,-my-everything";"barry-white";"2zfxzrbm3ey";"cifras\barry-white\barry-white_youre-the-first,-the-last,-my-everything.html"
1975;"1800-colinas";"beth-carvalho";"clwse7gdrve";"cifras\beth-carvalho\beth-carvalho_1800-colinas.html"
1975;"mandy";"barry-manilow";"uogch2l68mg";"cifras\barry-manilow\barry-manilow_mandy.html"
1975;"bilu-teteia";"mauro-celso";"ih9rnvotejy";"cifras\mauro-celso\mauro-celso_bilu-teteia.html"
1975;"july,-july,-july";"billy-paul";"1uhvvgptofm";"cifras\billy-paul\billy-paul_july,-july,-july.html"
1975;"critica";"cyro-aguiar";"eibkbl73z4u";"cifras\cyro-aguiar\cyro-aguiar_critica.html"
1975;"please-mr.-postman";"carpenters";"ahfddvbkb4w";"cifras\carpenters\carpenters_please-mr.-postman.html"
1975;"lovin-you";"minnie-riperton";"ke0pwj5pmdg";"cifras\minnie-riperton\minnie-riperton_lovin-you.html"
1975;"filho-da-bahia";"fafa-de-belem";"cnhbpbo9nze";"cifras\fafa-de-belem\fafa-de-belem_filho-da-bahia.html"
1975;"poxa";"gilson-de-souza";"88kpcjchsn0";"cifras\gilson-de-souza\gilson-de-souza_poxa.html"
1975;"secretaria-da-beira-do-cais";"cesar-sampaio";"rczrqv4d1fm";"cifras\cesar-sampaio\cesar-sampaio_secretaria-da-beira-do-cais.html"
1975;"a-lua-e-eu";"cassiano";"6al_seftjss";"cifras\cassiano\cassiano_a-lua-e-eu.html"
1975;"you-are-so-beautiful";"joe-cocker";"wldmslygmgi";"cifras\joe-cocker\joe-cocker_you-are-so-beautiful.html"
1975;"i-dont-like-to-sleep-alone";"paul-anka-with-odia-coates";"rnmohpup-ry";"cifras\paul-anka-with-odia-coates\paul-anka-with-odia-coates_i-dont-like-to-sleep-alone.html"
1975;"argumento";"paulinho-da-viola";"t1gb9dwn7ek";"cifras\paulinho-da-viola\paulinho-da-viola_argumento.html"
1975;"lady-marmalade";"labelle";"t4lwip7sajy";"cifras\labelle\labelle_lady-marmalade.html"
1975;"voce-nao-passa-de-uma-mulher";"martinho-da-vila";"pdgv85rx7ce";"cifras\martinho-da-vila\martinho-da-vila_voce-nao-passa-de-uma-mulher.html"
1975;"kid-cavaquinho";"maria-alcina";"9itqjckcrd4";"cifras\maria-alcina\maria-alcina_kid-cavaquinho.html"
1975;"o-ouro-e-a-madeira";"conjunto-nosso-samba";"uocufpbt_ni";"cifras\conjunto-nosso-samba\conjunto-nosso-samba_o-ouro-e-a-madeira.html"
1975;"my-eyes-adored-you";"frankie-valli";"xqz9eyakgqy";"cifras\frankie-valli\frankie-valli_my-eyes-adored-you.html"
1975;"dont-let-me-cry";"mark-davis";"ztq3_ltljcq";"cifras\mark-davis\mark-davis_dont-let-me-cry.html"
1975;"na-sombra-de-uma-arvore";"hyldon";"j38exua20xo";"cifras\hyldon\hyldon_na-sombra-de-uma-arvore.html"
1975;"let-me-be-forever";"steve-feldman";"-qcggpadly8";"cifras\steve-feldman\steve-feldman_let-me-be-forever.html"
1975;"the-hustle";"van-mccoy";"wj23_ndfsfe";"cifras\van-mccoy\van-mccoy_the-hustle.html"
1975;"ill-be-holding-you";"al-downing";"pyzrt7rcm70";"cifras\al-downing\al-downing_ill-be-holding-you.html"
1975;"no-na-madeira";"joao-nogueira";"io0dlogkhie";"cifras\joao-nogueira\joao-nogueira_no-na-madeira.html"
1975;"beijo-partido";"milton-nascimento";"pbstxsk9ux0";"cifras\milton-nascimento\milton-nascimento_beijo-partido.html"
1975;"laugher-in-the-rain";"neil-sedaka";"vcusylprfco";"cifras\neil-sedaka\neil-sedaka_laugher-in-the-rain.html"
1975;"lucy-in-the-sky-with-diamonds";"elton-john";"ic2hlowcif4";"cifras\elton-john\elton-john_lucy-in-the-sky-with-diamonds.html"
1975;"filho-da-veia";"luis-americo";"mwlg0se-zpw";"cifras\luis-americo\luis-americo_filho-da-veia.html"
1975;"shame,-shame,-shame";"shirley-&-co.";"vejnk8nvlk4";"cifras\shirley-&-co.\shirley-&-co._shame,-shame,-shame.html"
1975;"rain-&-memories";"paul-denver";"ejhgiqhg3vq";"cifras\paul-denver\paul-denver_rain-&-memories.html"
1975;"agora-so-falta-voce";"rita-lee";"nboz1z9ehbe";"cifras\rita-lee\rita-lee_agora-so-falta-voce.html"
1975;"beleza-que-e-voce-mulher";"benito-di-paula";"ubi3hz9-s6s";"cifras\benito-di-paula\benito-di-paula_beleza-que-e-voce-mulher.html"
1975;"juizo-final";"clara-nunes";"wih6oaytmni";"cifras\clara-nunes\clara-nunes_juizo-final.html"
1975;"enamorada-do-sambao";"beth-carvalho";"gkhgvm1zghw";"cifras\beth-carvalho\beth-carvalho_enamorada-do-sambao.html"
1975;"boogie-on-reggae-woman";"stevie-wonder";"h8z_71sf4lu";"cifras\stevie-wonder\stevie-wonder_boogie-on-reggae-woman.html"
1975;"juventude-transviada";"luiz-melodia";"t1sobvfutvk";"cifras\luiz-melodia\luiz-melodia_juventude-transviada.html"
1975;"its-my-first-day-without-you";"dennis-yost-&-the-classics-iv";"ktku8v0skde";"cifras\dennis-yost-&-the-classics-iv\dennis-yost-&-the-classics-iv_its-my-first-day-without-you.html"
1975;"modinha-para-gabriela";"gal-costa";"ipng-am6uga";"cifras\gal-costa\gal-costa_modinha-para-gabriela.html"
1975;"sad-sweet-dreamer";"sweet-sensation";"z9rrrz0zfrc";"cifras\sweet-sensation\sweet-sensation_sad-sweet-dreamer.html"
1975;"the-miracle";"stylistics";"ffhcdmmpxf4";"cifras\stylistics\stylistics_the-miracle.html"
1975;"emorio";"fafa-de-belem";"k1xy8ffqeak";"cifras\fafa-de-belem\fafa-de-belem_emorio.html"
1975;"amor-com-amor-se-paga";"carmen-silva";"_-3ebc_imvy";"cifras\carmen-silva\carmen-silva_amor-com-amor-se-paga.html"
1975;"na-beira-do-mar";"wander-pires";"vwyl3bclklq";"cifras\wander-pires\wander-pires_na-beira-do-mar.html"
1975;"dentro-de-mim-mora-um-anjo";"sueli-costa";"y2ccjzn6tqw";"cifras\sueli-costa\sueli-costa_dentro-de-mim-mora-um-anjo.html"
1975;"linha-do-horizonte";"azimuth";"xkmtetl6oig";"cifras\azimuth\azimuth_linha-do-horizonte.html"
1975;"terceiro-ato";"antonio-carlos-&-jocafi";"oybkuxegxt8";"cifras\antonio-carlos-&-jocafi\antonio-carlos-&-jocafi_terceiro-ato.html"
1975;"esse-tal-de-roque-enrow";"rita-lee";"eo3lgyvkvje";"cifras\rita-lee\rita-lee_esse-tal-de-roque-enrow.html"
1975;"a-deusa-dos-orixas";"clara-nunes";"gs17ndxlcts";"cifras\clara-nunes\clara-nunes_a-deusa-dos-orixas.html"
1975;"a-sombra-do-teu-sorriso";"moacyr-franco";"jhxoexbuncm";"cifras\moacyr-franco\moacyr-franco_a-sombra-do-teu-sorriso.html"
1975;"as-dores-do-mundo";"hyldon";"r_tch26b1li";"cifras\hyldon\hyldon_as-dores-do-mundo.html"
1975;"cuca-legal-(ha-ha-ha)";"chico-batera";"i0yes9inlqe";"cifras\chico-batera\chico-batera_cuca-legal-(ha-ha-ha).html"
1975;"beijo-partido";"nana-caymmi";"pogjjx20hfy";"cifras\nana-caymmi\nana-caymmi_beijo-partido.html"
1975;"deixe-o-meu-marido-em-paz";"claudia-barroso";"ofrphckfeli";"cifras\claudia-barroso\claudia-barroso_deixe-o-meu-marido-em-paz.html"
1975;"im-down";"hollies";"z26ll7cu2uk";"cifras\hollies\hollies_im-down.html"
1975;"espelho-meu";"silvio-brito";"1k0-ly-gvz8";"cifras\silvio-brito\silvio-brito_espelho-meu.html"
1975;"pandeiro-&-viola";"beth-carvalho";"ukled4n1ykg";"cifras\beth-carvalho\beth-carvalho_pandeiro-&-viola.html"
1975;"foi-assim";"fafa-de-belem";"lkz8usn7oca";"cifras\fafa-de-belem\fafa-de-belem_foi-assim.html"
1975;"ovelha-negra";"rita-lee-&-tutti-frutti";"pj4fmfpif40";"cifras\rita-lee-&-tutti-frutti\rita-lee-&-tutti-frutti_ovelha-negra.html"
1975;"foi-tudo-culpa-do-amor";"diana";"50anr5b_68o";"cifras\diana\diana_foi-tudo-culpa-do-amor.html"
1975;"folia-de-reis";"baiano-&-os-novos-caetanos";"uc1w8_3t0xq";"cifras\baiano-&-os-novos-caetanos\baiano-&-os-novos-caetanos_folia-de-reis.html"
1975;"from-his-woman-to-you";"barbara-mason";"lqfwvdp827i";"cifras\barbara-mason\barbara-mason_from-his-woman-to-you.html"
1975;"melo-da-cuica";"azimuth";"wcpsexceft0";"cifras\azimuth\azimuth_melo-da-cuica.html"
1975;"im-prisioner";"paul-jones";"pbnal29di3g";"cifras\paul-jones\paul-jones_im-prisioner.html"
1975;"lua,-lua,-lua,-lua";"caetano-veloso";"egb-ecydmko";"cifras\caetano-veloso\caetano-veloso_lua,-lua,-lua,-lua.html"
1975;"de-frente-pro-crime";"simone";"amizylusczc";"cifras\simone\simone_de-frente-pro-crime.html"
1975;"tango-pra-teresa";"angela-maria";"krrn7xzvlne";"cifras\angela-maria\angela-maria_tango-pra-teresa.html"
1975;"meu-perdao";"beth-carvalho";"xq6sfqagao0";"cifras\beth-carvalho\beth-carvalho_meu-perdao.html"
1975;"o-maior-golpe-do-mundo";"deny-&-dino";"32tbnwumtoo";"cifras\deny-&-dino\deny-&-dino_o-maior-golpe-do-mundo.html"
1975;"mulher-brasileira";"benito-di-paula";"ptkaavvbcgo";"cifras\benito-di-paula\benito-di-paula_mulher-brasileira.html"
1975;"quem-e-de-samba-chora";"gilson-de-souza";"zdb0fc1sb-y";"cifras\gilson-de-souza\gilson-de-souza_quem-e-de-samba-chora.html"
1975;"nao-esquenta-a-cabeca,-nao";"golden-boys";"tn7j35rub6k";"cifras\golden-boys\golden-boys_nao-esquenta-a-cabeca,-nao.html"
1975;"antes-que-eu-volte-a-ser-nada";"leci-brandao";"do4clq9wm1a";"cifras\leci-brandao\leci-brandao_antes-que-eu-volte-a-ser-nada.html"
1975;"nao-precisa-me-perdoar";"benito-di-paula";"5fnsl2i6zq4";"cifras\benito-di-paula\benito-di-paula_nao-precisa-me-perdoar.html"
1975;"vai-levando";"chico-buarque-&-maria-bethania";"19my4fdeate";"cifras\chico-buarque-&-maria-bethania\chico-buarque-&-maria-bethania_vai-levando.html"
1975;"never-can-say-goodbye";"gloria-gaynor";"ccsvnzwpxam";"cifras\gloria-gaynor\gloria-gaynor_never-can-say-goodbye.html"
1975;"onde-esta-a-honestidade";"beth-carvalho";"wa_6o0mgkco";"cifras\beth-carvalho\beth-carvalho_onde-esta-a-honestidade.html"
1974;"feelings";"morris-albert";"cybchue4weq";"cifras\morris-albert\morris-albert_feelings.html"
1974;"excuse-me";"junior";"rxzuygjhm7k";"cifras\junior\junior_excuse-me.html"
1974;"goodbye-yellow-brick-road";"elton-john";"ddol7iy8kfo";"cifras\elton-john\elton-john_goodbye-yellow-brick-road.html"
1974;"no-silencio-da-madrugada";"luiz-ayrao";"t3b-3ivkpnc";"cifras\luiz-ayrao\luiz-ayrao_no-silencio-da-madrugada.html"
1974;"you-make-me-feel-brand-new";"stylistics";"djm51jsroo0";"cifras\stylistics\stylistics_you-make-me-feel-brand-new.html"
1974;"o-portao";"roberto-carlos";"wyckbytcnlc";"cifras\roberto-carlos\roberto-carlos_o-portao.html"
1974;"dont-let-the-sun-go-down-on-me";"elton-john";"fi5xme5k5aq";"cifras\elton-john\elton-john_dont-let-the-sun-go-down-on-me.html"
1974;"loves-theme";"love-unlimited-orchestra";"8ys7swcg_ze";"cifras\love-unlimited-orchestra\love-unlimited-orchestra_loves-theme.html"
1974;"na-rua,-na-chuva,-na-fazenda-(casinha-de-sape)";"hyldon";"vv6kk2twm6e";"cifras\hyldon\hyldon_na-rua,-na-chuva,-na-fazenda-(casinha-de-sape).html"
1974;"me-and-you";"dave-mclean";"l4sydt-debq";"cifras\dave-mclean\dave-mclean_me-and-you.html"
1974;"the-air-that-i-breathe";"hollies";"hydvcea1pai";"cifras\hollies\hollies_the-air-that-i-breathe.html"
1974;"gita";"raul-seixas";"_cpqbbjc0qm";"cifras\raul-seixas\raul-seixas_gita.html"
1974;"song-for-anna";"herb-ohta";"x-j9pc7lvd4";"cifras\herb-ohta\herb-ohta_song-for-anna.html"
1974;"gaye";"clifford-t.-ward";"vjaztkgm_s8";"cifras\clifford-t.-ward\clifford-t.-ward_gaye.html"
1974;"abre-alas";"ivan-lins";"kc26cjoho_s";"cifras\ivan-lins\ivan-lins_abre-alas.html"
1974;"band-on-the-run";"paul-mccartney-&-wings";"uc-7g2ossby";"cifras\paul-mccartney-&-wings\paul-mccartney-&-wings_band-on-the-run.html"
1974;"so-very-hard-to-go";"tower-of-power";"t9brqgpppjw";"cifras\tower-of-power\tower-of-power_so-very-hard-to-go.html"
1974;"rock-your-baby";"george-mccrae";"kdd5bqlv8iw";"cifras\george-mccrae\george-mccrae_rock-your-baby.html"
1974;"o-mundo-melhor-de-pixinguinha-(pizindim)";"jair-rodrigues";"ve6qecs_9x4";"cifras\jair-rodrigues\jair-rodrigues_o-mundo-melhor-de-pixinguinha-(pizindim).html"
1974;"manhas-de-setembro";"vanusa";"sb6q1xnsbve";"cifras\vanusa\vanusa_manhas-de-setembro.html"
1974;"jungle-boogie";"kool-&-the-gang";"qhgoo73gxg4";"cifras\kool-&-the-gang\kool-&-the-gang_jungle-boogie.html"
1974;"vo-bate-pa-tu";"baiano-&-os-novos-caetanos";"shexz-v4lj8";"cifras\baiano-&-os-novos-caetanos\baiano-&-os-novos-caetanos_vo-bate-pa-tu.html"
1974;"eres-tu-(touch-the-wind)";"mocedades";"sbjn-ycv-n8";"cifras\mocedades\mocedades_eres-tu-(touch-the-wind).html"
